"Genus","Order","Phylum","log2FC"
"Acinetobacter","Pseudomonadales","Proteobacteria",-2.14051439922447
"Actinomadura","Streptosporangiales","Actinobacteria",0.207101217103498
"Aeromonas","Aeromonadales","Proteobacteria",1.9508047160569
"Azomonas","Pseudomonadales","Proteobacteria",0.637660654383539
"Deinococcus","Deinococcales","Deinococcus-Thermus",-4.02780741139757
"Geobacter","Desulfuromonadales","Proteobacteria",-1.80113438093283
"Pseudomonas","Pseudomonadales","Proteobacteria",-1.705975543547
"Reyranella","Reyranellales","Proteobacteria",3.25381045044068
"Sinosporangium","Streptosporangiales","Actinobacteria",-3.96355805756905
"Spirillospora","Streptosporangiales","Actinobacteria",-1.62930561054484
"possible_genus_04","Fibrobacterales","Fibrobacteres",0
