"Order","Phylum","log2FC","padj"
"Acetobacterales","Proteobacteria",0,1
"Acidobacteriales","Acidobacteria",0,1
"Actinomycetales","Actinobacteria",-0.900567190466414,1
"Aeromonadales","Proteobacteria",1.9508047160569,1
"Alteromonadales","Proteobacteria",-1.04864637301122,1
"Azospirillales","Proteobacteria",0,1
"Bacillales","Firmicutes",0,1
"Bacteroidales","Bacteroidetes",0.562830806956734,1
"Bdellovibrionales","Proteobacteria",0,1
"Betaproteobacteriales","Proteobacteria",0,1
"Caulobacterales","Proteobacteria",0,1
"Cellvibrionales","Proteobacteria",-1.09946315313024,1
"Chitinophagales","Bacteroidetes",0.333476610478913,1
"Chlamydiales","Chlamydiae",0.592492091070977,1
"Chloroflexales","Chloroflexi",0.296246045535489,1
"Clostridiales","Firmicutes",0,1
"Corynebacteriales","Actinobacteria",-0.164111200502923,1
"Coxiellales","Proteobacteria",0.725316863846621,1
"Cytophagales","Bacteroidetes",0,1
"Deinococcales","Deinococcus-Thermus",-4.02780741139757,1
"Desulfuromonadales","Proteobacteria",-1.80113438093283,1
"Diplorickettsiales","Proteobacteria",0.0431346179824026,1
"Dongiales","Proteobacteria",0,1
"Enterobacteriales","Proteobacteria",-1.11101324722304,1
"Fibrobacterales","Fibrobacteres",2.26266724254047,1
"Fimbriimonadales","Armatimonadetes",0,1
"Flavobacteriales","Bacteroidetes",0,4.81460860560658e-06
"Frankiales","Actinobacteria",0,1
"Gammaproteobacteria_Incertae_Sedis","Proteobacteria",0.0796541239416995,1
"Gemmatimonadales","Gemmatimonadetes",0.642260939424923,1
"Holophagales","Acidobacteria",0,1
"Ignavibacteriales","Bacteroidetes",0.637660654383539,1
"Isosphaerales","Planctomycetes",0,1
"Kryptoniales","Bacteroidetes",-1.35830699612586,1
"Ktedonobacterales","Chloroflexi",0,1
"Lactobacillales","Firmicutes",0,1
"Legionellales","Proteobacteria",0,1
"Methylacidiphilales","Verrucomicrobia",0.542723538021896,1
"Methylococcales","Proteobacteria",0.637660654383539,1
"Micavibrionales","Proteobacteria",1.96353420509177,1
"Micrococcales","Actinobacteria",0,1
"Micromonosporales","Actinobacteria",0,1
"Micropepsales","Proteobacteria",0,5.70888298768984e-07
"Microtrichales","Actinobacteria",0.876328329819682,1
"Myxococcales","Proteobacteria",0.157215457738916,1
"Nitrospirales","Nitrospirae",1.20331521240351,1
"Oligoflexales","Proteobacteria",0.159828624420829,1
"Paracaedibacterales","Proteobacteria",-1.80113438093283,1
"Pedosphaerales","Verrucomicrobia",-1.11101324722304,1
"Propionibacteriales","Actinobacteria",0,1
"Pseudomonadales","Proteobacteria",-1.63261525825707,1
"Pseudonocardiales","Actinobacteria",0,1
"Reyranellales","Proteobacteria",1.53899151740781,1
"Rhizobiales","Proteobacteria",0,1
"Rhodobacterales","Proteobacteria",0,1
"Rhodospirillales","Proteobacteria",0.0431346179824022,1
"Rickettsiales","Proteobacteria",0.0431346179824026,1
"SBR1031","Chloroflexi",0,1
"Saccharimonadales","Patescibacteria",0.185132518279898,1
"Salinisphaerales","Proteobacteria",0,1
"Sneathiellales","Proteobacteria",0,1
"Solibacterales","Acidobacteria",0,1
"Solirubrobacterales","Actinobacteria",0,1
"Sphingobacteriales","Bacteroidetes",0,1
"Sphingomonadales","Proteobacteria",0,1
"Spirochaetales","Spirochaetes",0,1
"Steroidobacterales","Proteobacteria",0,1
"Streptomycetales","Actinobacteria",0,1
"Streptosporangiales","Actinobacteria",-1.62930561054484,1
"Thermomicrobiales","Chloroflexi",1.54019094597006,1
"Xanthomonadales","Proteobacteria",0,1
